"ElectID","Applicable_Spec","Standard","ActiveStatus","CreatedDate"
"13829","IEC-62353","ALTERNATIVE","True","11/22/2016 11:45:10 AM"
"13830","IEC-62353","ALTERNATIVE","True","11/22/2016 11:46:33 AM"
"13831","IEC-62353","ALTERNATIVE","True","11/22/2016 11:55:53 AM"
"13832","IEC-62353","ALTERNATIVE","True","11/22/2016 12:06:11 PM"
"13833","IEC-62353","ALTERNATIVE","True","11/27/2016 12:58:46 PM"
"13834","IEC-62353","ALTERNATIVE","True","11/27/2016 1:09:45 PM"
"13835","IEC-62353","ALTERNATIVE","True","11/27/2016 1:19:52 PM"
"13836","IEC-62353","ALTERNATIVE","True","11/27/2016 1:22:26 PM"
"13837","IEC-62353","ALTERNATIVE","True","11/27/2016 1:24:18 PM"
"13838","IEC-62353","ALTERNATIVE","True","11/27/2016 1:30:12 PM"
"13839","IEC-62353","ALTERNATIVE","True","11/28/2016 3:54:22 PM"
"13840","IEC-62353","ALTERNATIVE","True","11/28/2016 3:56:33 PM"
"13841","IEC-62353","ALTERNATIVE","True","11/29/2016 12:14:27 PM"
"13842","IEC-62353","ALTERNATIVE","True","11/29/2016 12:23:48 PM"
"13843","IEC-62353","ALTERNATIVE","True","11/29/2016 12:31:21 PM"
"13844","IEC-62353","ALTERNATIVE","True","11/29/2016 12:33:04 PM"
"13845","IEC-62353","ALTERNATIVE","True","11/29/2016 12:40:26 PM"
"13846","IEC-62353","ALTERNATIVE","True","11/29/2016 12:45:02 PM"
"13847","IEC-62353","ALTERNATIVE","True","11/29/2016 1:20:37 PM"
"13848","IEC-62353","ALTERNATIVE","True","11/29/2016 1:27:42 PM"
"13849","IEC-62353","ALTERNATIVE","True","11/29/2016 1:30:40 PM"
"13850","IEC-62353","ALTERNATIVE","True","11/29/2016 1:33:03 PM"
"13851","IEC-62353","ALTERNATIVE","True","11/29/2016 1:35:09 PM"
"13852","IEC-62353","ALTERNATIVE","True","11/29/2016 1:37:07 PM"
"13853","IEC-62353","ALTERNATIVE","True","11/29/2016 1:38:34 PM"
"13854","IEC-62353","ALTERNATIVE","True","11/29/2016 1:42:06 PM"
"13855","IEC-62353","ALTERNATIVE","True","11/29/2016 1:44:19 PM"
"13856","IEC-62353","ALTERNATIVE","True","11/29/2016 1:45:33 PM"
"13857","IEC-62353","ALTERNATIVE","True","11/29/2016 1:47:12 PM"
"13858","IEC-62353","ALTERNATIVE","True","11/29/2016 1:48:16 PM"
"13859","IEC-62353","ALTERNATIVE","True","11/29/2016 1:50:08 PM"
"13860","IEC-62353","ALTERNATIVE","True","11/29/2016 1:52:12 PM"
"13861","IEC-62353","ALTERNATIVE","True","11/29/2016 1:53:44 PM"
"13862","IEC-62353","ALTERNATIVE","True","11/29/2016 1:56:26 PM"
"13863","IEC-62353","ALTERNATIVE","True","11/29/2016 1:57:42 PM"
"13864","IEC-62353","ALTERNATIVE","True","11/29/2016 1:59:08 PM"
"13865","IEC-62353","ALTERNATIVE","True","11/29/2016 2:00:27 PM"
"13866","IEC-62353","ALTERNATIVE","True","11/29/2016 2:03:04 PM"
"13867","IEC-62353","ALTERNATIVE","True","11/29/2016 2:05:22 PM"
"13868","IEC-62353","ALTERNATIVE","True","11/29/2016 2:14:39 PM"
"13869","IEC-62353","ALTERNATIVE","True","11/29/2016 2:26:05 PM"
"13870","IEC-62353","ALTERNATIVE","True","11/29/2016 2:49:19 PM"
"13871","IEC-62353","ALTERNATIVE","True","11/29/2016 2:54:05 PM"
"13872","IEC-62353","ALTERNATIVE","True","11/29/2016 3:02:00 PM"
"13873","IEC-62353","ALTERNATIVE","True","11/29/2016 3:13:32 PM"
"13874","IEC-62353","ALTERNATIVE","True","11/29/2016 3:14:59 PM"
"13875","IEC-62353","ALTERNATIVE","True","11/29/2016 3:17:50 PM"
"13876","IEC-62353","ALTERNATIVE","True","11/29/2016 3:20:55 PM"
"13877","IEC-62353","ALTERNATIVE","True","11/29/2016 3:23:18 PM"
"13878","IEC-62353","ALTERNATIVE","True","11/29/2016 3:26:27 PM"
"13879","IEC-62353","ALTERNATIVE","True","11/29/2016 3:32:20 PM"
"13880","IEC-62353","ALTERNATIVE","True","11/29/2016 3:36:50 PM"
"13881","IEC-62353","ALTERNATIVE","True","11/29/2016 4:22:58 PM"
"13882","IEC-62353","ALTERNATIVE","True","11/29/2016 4:31:12 PM"
"13883","IEC-62353","ALTERNATIVE","True","11/29/2016 5:20:11 PM"
"13884","IEC-62353","ALTERNATIVE","True","11/29/2016 5:29:12 PM"
"13885","IEC-62353","ALTERNATIVE","True","11/29/2016 5:47:48 PM"
"13886","IEC-62353","ALTERNATIVE","True","11/30/2016 1:16:47 PM"
"13887","IEC-62353","ALTERNATIVE","True","11/30/2016 1:21:00 PM"
"13888","IEC-62353","ALTERNATIVE","True","11/30/2016 1:24:25 PM"
"13889","IEC-62353","ALTERNATIVE","True","11/30/2016 1:27:01 PM"
"13890","IEC-62353","ALTERNATIVE","True","11/30/2016 1:29:58 PM"
"13891","IEC-62353","ALTERNATIVE","True","11/30/2016 1:32:53 PM"
"13892","IEC-62353","ALTERNATIVE","True","11/30/2016 1:35:26 PM"
"13893","IEC-62353","ALTERNATIVE","True","11/30/2016 1:40:07 PM"
"13894","IEC-62353","ALTERNATIVE","True","11/30/2016 1:43:46 PM"
"13895","IEC-62353","ALTERNATIVE","True","11/30/2016 1:46:43 PM"
"13896","IEC-62353","ALTERNATIVE","True","11/30/2016 1:57:54 PM"
"13897","IEC-62353","ALTERNATIVE","True","11/30/2016 2:04:03 PM"
"13898","IEC-62353","ALTERNATIVE","True","11/30/2016 4:58:22 PM"
"13899","IEC-62353","ALTERNATIVE","True","11/30/2016 5:16:40 PM"
"13900","IEC-62353","ALTERNATIVE","True","11/30/2016 5:22:44 PM"
"13901","IEC-62353","ALTERNATIVE","True","11/30/2016 5:39:00 PM"
"13902","IEC-62353","ALTERNATIVE","True","11/30/2016 5:46:40 PM"
"13903","IEC-62353","ALTERNATIVE","True","12/1/2016 11:25:14 AM"
"13904","IEC-62353","ALTERNATIVE","True","12/1/2016 11:31:16 AM"
"13905","IEC-62353","ALTERNATIVE","True","12/1/2016 11:33:33 AM"
"13906","IEC-62353","ALTERNATIVE","True","12/1/2016 12:55:23 PM"
"13907","IEC-62353","ALTERNATIVE","True","12/1/2016 2:46:35 PM"
"13908","IEC-62353","ALTERNATIVE","True","12/1/2016 2:52:18 PM"
"13909","IEC-62353","ALTERNATIVE","True","12/1/2016 3:10:49 PM"
"13910","IEC-62353","ALTERNATIVE","True","12/1/2016 3:13:21 PM"
"13911","IEC-62353","ALTERNATIVE","True","12/1/2016 3:19:11 PM"
"13912","IEC-62353","ALTERNATIVE","True","12/1/2016 3:33:51 PM"
"13913","IEC-62353","ALTERNATIVE","True","12/1/2016 4:15:17 PM"
"13914","IEC-62353","ALTERNATIVE","True","12/1/2016 4:29:47 PM"
"13915","IEC-62353","ALTERNATIVE","True","12/1/2016 4:33:42 PM"
"13916","IEC-62353","ALTERNATIVE","True","12/1/2016 4:41:07 PM"
"13917","IEC-62353","ALTERNATIVE","True","12/1/2016 5:17:24 PM"
